,city,district,type,rental_cost,price_reduction_amount,dimension,rooms,bathrooms,elevator,terrace,air_conditioning,balcony,pool,floor,time_since_published,scraping_date
0,Malaga,Centro,Piso,2000.0,400,135,5,2,1,1,0,1,0,,32,17-03-2024 | 11:37
1,Malaga,Centro,Piso,1150.0,0,60,1,1,1,0,1,0,0,4ª,90,17-03-2024 | 11:37
2,Malaga,Carretera de Cádiz,Piso,950.0,0,81,3,1,1,1,0,0,0,3ª,4,17-03-2024 | 11:37
3,Malaga,Centro,Piso,1350.0,0,88,2,2,1,0,1,0,0,,86,17-03-2024 | 11:37
4,Malaga,Centro,Piso,1850.0,350,112,3,1,0,0,0,0,0,,0,17-03-2024 | 11:37
5,Malaga,Teatinos - Universidad,Piso,1250.0,0,100,3,2,0,0,0,0,0,,3,17-03-2024 | 11:37
6,Malaga,Teatinos - Universidad,Piso,1300.0,0,85,3,1,0,0,0,0,0,,11,17-03-2024 | 11:37
7,Malaga,Churriana,Piso,1800.0,0,71,1,1,0,0,0,0,0,,4,17-03-2024 | 11:37
8,Malaga,Centro,Piso,1250.0,250,100,3,1,0,0,0,0,0,,60,17-03-2024 | 11:37
9,Malaga,Centro,Estudio,850.0,0,40,0,1,0,0,0,0,0,2ª,24,17-03-2024 | 11:37
10,Malaga,Centro,Piso,1500.0,100,80,1,1,0,0,0,0,0,,0,17-03-2024 | 11:37
11,Malaga,Puerto de la Torre,Piso,1500.0,0,150,2,2,0,0,0,0,0,,0,17-03-2024 | 11:37
12,Malaga,Martiricos - La Roca,Apartamento,1195.0,0,45,1,1,0,0,0,0,0,,0,17-03-2024 | 11:37
13,Malaga,Centro,Piso,2950.0,550,193,5,3,0,0,0,0,0,,0,17-03-2024 | 11:37
14,Malaga,Teatinos - Universidad,Piso,1300.0,0,95,3,2,0,0,0,0,0,,0,17-03-2024 | 11:37
15,Malaga,Churriana,Apartamento,1050.0,0,85,1,1,0,0,0,0,0,,0,17-03-2024 | 11:37
16,Malaga,Centro,Piso,1100.0,0,88,3,1,0,0,0,0,0,,25,17-03-2024 | 11:37
17,Malaga,Puerto de la Torre,Apartamento,800.0,0,50,2,1,0,0,0,0,0,,4,17-03-2024 | 11:37
18,Malaga,Carretera de Cádiz,Piso,2500.0,0,160,4,2,1,1,0,0,0,,33,17-03-2024 | 11:37
19,Malaga,Teatinos - Universidad,Piso,1600.0,100,120,4,2,1,0,0,0,0,6ª,5,17-03-2024 | 11:37
20,Malaga,Puerto de la Torre,Dúplex,1150.0,0,120,3,2,0,0,1,0,0,1ª,16,17-03-2024 | 11:37
21,Malaga,Centro,Apartamento,850.0,50,50,1,1,1,0,0,0,0,1ª,37,17-03-2024 | 11:37
22,Malaga,Centro,Dúplex,1200.0,0,80,1,1,1,0,0,0,0,3ª,20,17-03-2024 | 11:37
23,Malaga,Bailen - Miraflores,Estudio,680.0,0,50,0,1,1,0,0,1,0,4ª,37,17-03-2024 | 11:37
24,Malaga,Campanillas,Casa o chalet,1000.0,0,130,3,1,0,1,0,1,0,,5,17-03-2024 | 11:37
25,Malaga,Campanillas,Piso,680.0,0,48,1,1,0,0,1,0,0,1ª,0,17-03-2024 | 11:37
26,Malaga,Puerto de la Torre,Ático,1100.0,0,110,3,0,1,1,0,0,0,1ª,0,17-03-2024 | 11:37
27,Malaga,Centro,Piso,1600.0,0,80,2,1,1,0,0,0,0,2ª,0,17-03-2024 | 11:37
28,Malaga,Teatinos - Universidad,Piso,1350.0,0,110,3,1,1,0,0,0,0,2ª,11,17-03-2024 | 11:37
29,Malaga,Palma - Palmilla,Piso,800.0,0,73,3,1,1,0,0,0,0,,1,17-03-2024 | 11:37
30,Malaga,Centro,Piso,1500.0,0,87,2,1,1,0,0,0,0,2ª,86,17-03-2024 | 11:37
31,Malaga,Churriana,Casa adosada,1240.0,0,103,3,2,0,0,0,0,0,,30,17-03-2024 | 11:37
32,Malaga,Centro,Piso,3570.0,0,140,4,2,1,1,0,0,0,,38,17-03-2024 | 11:37
33,Malaga,Carretera de Cádiz,Piso,1100.0,0,75,3,2,1,0,0,0,0,2ª,2,17-03-2024 | 11:37
34,Malaga,Bailen - Miraflores,Piso,765.0,0,54,1,1,1,0,0,0,0,,11,17-03-2024 | 11:37
35,Malaga,Teatinos - Universidad,Piso,1295.0,205,135,3,2,1,0,0,0,0,1ª,5,17-03-2024 | 11:37
36,Malaga,Centro,Piso,1600.0,0,150,4,2,1,0,0,0,0,1ª,1,17-03-2024 | 11:37
37,Malaga,Cruz de Humilladero,Piso,1100.0,0,96,3,1,1,0,0,0,0,7ª,25,17-03-2024 | 11:37
38,Malaga,Centro,Loft,1200.0,0,60,0,1,1,0,1,0,0,4ª,60,17-03-2024 | 11:37
39,Malaga,Centro,Piso,1200.0,0,100,2,1,0,1,0,0,0,1ª,40,17-03-2024 | 11:37
40,Malaga,Centro,Piso,1000.0,0,92,2,1,0,0,0,1,0,2ª,2,17-03-2024 | 11:37
41,Malaga,Centro,Estudio,975.0,0,50,1,1,1,0,0,0,0,4ª,60,17-03-2024 | 11:37
42,Malaga,Centro,Piso,1400.0,0,71,1,1,1,0,0,0,0,3ª,138,17-03-2024 | 11:37
43,Malaga,Cruz de Humilladero,Ático,1100.0,0,150,2,2,1,0,0,0,0,15,3,17-03-2024 | 11:37
44,Malaga,Martiricos - La Roca,Casa o chalet,1300.0,0,130,3,1,0,1,1,0,0,,25,17-03-2024 | 11:37
45,Malaga,Bailen - Miraflores,Casa o chalet,1200.0,0,75,2,1,0,1,0,1,0,,130,17-03-2024 | 11:37
46,Malaga,Centro,Piso,1400.0,100,83,2,1,1,0,0,0,0,2ª,14,17-03-2024 | 11:37
47,Malaga,Teatinos - Universidad,Apartamento,700.0,0,40,1,1,0,0,0,0,0,2ª,11,17-03-2024 | 11:37
48,Malaga,Cruz de Humilladero,Piso,1500.0,0,120,6,1,0,0,0,0,0,3ª,137,17-03-2024 | 11:37
49,Malaga,Churriana,Estudio,900.0,0,40,0,1,0,1,1,0,0,1ª,123,17-03-2024 | 11:37
50,Malaga,Centro,Apartamento,1200.0,0,75,3,1,0,0,0,0,0,2ª,60,17-03-2024 | 11:37
51,Malaga,Bailen - Miraflores,Piso,900.0,0,85,3,2,1,0,0,0,0,4ª,12,17-03-2024 | 11:37
52,Malaga,Ciudad Jardin,Piso,1200.0,0,90,4,2,1,0,0,0,0,8ª,198,17-03-2024 | 11:37
53,Malaga,Churriana,Piso,1300.0,0,80,3,2,0,1,0,0,0,1ª,26,17-03-2024 | 11:37
54,Malaga,Campanillas,Casa o chalet,650.0,0,69,2,1,0,0,1,0,0,,0,17-03-2024 | 11:37
55,Malaga,Centro,Piso,1200.0,0,110,4,2,1,0,0,0,0,6ª,176,17-03-2024 | 11:37
56,Malaga,Centro,Piso,2250.0,0,121,3,2,1,0,0,0,0,4ª,8,17-03-2024 | 11:37
57,Malaga,Bailen - Miraflores,Loft,935.0,0,52,1,1,1,0,0,0,0,bajo,102,17-03-2024 | 11:37
58,Malaga,Este,Piso,1700.0,0,145,3,2,1,0,0,0,0,1ª,61,17-03-2024 | 11:37
59,Malaga,Centro,Piso,2250.0,150,180,4,3,1,0,0,0,0,10ª,34,17-03-2024 | 11:37
60,Malaga,Centro,Apartamento,1000.0,0,55,1,1,1,0,0,0,0,2ª,23,17-03-2024 | 11:38
61,Malaga,Bailen - Miraflores,Estudio,875.0,0,42,1,1,1,0,0,0,0,bajo,101,17-03-2024 | 11:38
62,Malaga,Centro,Piso,925.0,0,87,2,1,1,0,0,0,0,2ª,8,17-03-2024 | 11:38
63,Malaga,Este,Piso,1890.0,0,138,3,2,1,1,0,0,0,,18,17-03-2024 | 11:38
64,Malaga,Carretera de Cádiz,Ático,1650.0,0,95,1,1,1,0,0,0,0,,158,17-03-2024 | 11:38
65,Malaga,Carretera de Cádiz,Piso,1800.0,0,100,3,2,1,1,0,0,0,,8,17-03-2024 | 11:38
66,Malaga,Teatinos - Universidad,Piso,1500.0,0,110,3,2,1,0,0,0,0,,216,17-03-2024 | 11:38
67,Malaga,Centro,Piso,1500.0,0,110,3,2,1,0,0,0,0,,635,17-03-2024 | 11:38
68,Malaga,Centro,Piso,990.0,0,34,1,1,1,0,0,0,0,,75,17-03-2024 | 11:38
69,Malaga,Centro,Apartamento,2000.0,0,50,1,1,1,0,0,1,0,,67,17-03-2024 | 11:38
70,Malaga,Teatinos - Universidad,Piso,1800.0,0,122,3,2,1,0,0,0,0,,80,17-03-2024 | 11:38
71,Malaga,Centro,Piso,1000.0,0,70,2,1,1,0,0,0,0,,72,17-03-2024 | 11:38
72,Malaga,Teatinos - Universidad,Piso,1375.0,0,115,2,2,1,1,0,0,0,,25,17-03-2024 | 11:38
73,Malaga,Teatinos - Universidad,Apartamento,1500.0,0,117,2,2,1,1,0,0,0,,12,17-03-2024 | 11:38
74,Malaga,Este,Piso,,0,165,3,3,0,1,0,0,0,,58,17-03-2024 | 11:38
75,Malaga,Bailen - Miraflores,Piso,1050.0,0,80,3,1,1,0,0,0,0,,31,17-03-2024 | 11:38
76,Malaga,Martiricos - La Roca,Piso,1750.0,0,70,2,2,1,0,0,0,0,,1,17-03-2024 | 11:38
77,Malaga,Centro,Apartamento,2101.0,0,48,1,1,1,0,0,0,0,6ª,61,17-03-2024 | 11:38
78,Malaga,Centro,Apartamento,2553.0,0,50,2,1,1,0,0,0,0,6ª,61,17-03-2024 | 11:38
79,Malaga,Centro,Estudio,1857.0,0,26,1,1,1,0,0,0,0,6ª,61,17-03-2024 | 11:38
80,Malaga,Teatinos - Universidad,Apartamento,1275.0,0,60,1,1,1,1,0,0,0,,8,17-03-2024 | 11:38
81,Malaga,Bailen - Miraflores,Piso,1100.0,200,75,3,1,1,1,0,0,0,,41,17-03-2024 | 11:38
82,Malaga,Palma - Palmilla,Piso,1100.0,0,106,4,2,1,0,0,0,0,,161,17-03-2024 | 11:38
83,Malaga,Churriana,Dúplex,1500.0,0,150,3,2,0,1,1,0,0,,115,17-03-2024 | 11:38
84,Malaga,Centro,Piso,1800.0,0,100,2,2,1,0,0,0,0,,65,17-03-2024 | 11:38
85,Malaga,Centro,Estudio,990.0,0,33,1,1,1,0,0,0,0,,88,17-03-2024 | 11:38
86,Malaga,Centro,Piso,990.0,0,34,1,1,1,0,0,0,0,,99,17-03-2024 | 11:38
87,Malaga,Cruz de Humilladero,Piso,1400.0,0,126,4,2,1,1,0,0,0,,4,17-03-2024 | 11:38
88,Malaga,Centro,Piso,1600.0,0,125,4,1,1,0,0,1,0,,4,17-03-2024 | 11:38
89,Malaga,Martiricos - La Roca,Apartamento,1195.0,0,45,1,1,1,0,0,0,0,3ª,19,17-03-2024 | 11:38
90,Malaga,Centro,Piso,850.0,0,45,1,1,0,1,0,1,0,,25,17-03-2024 | 11:38
91,Malaga,Centro,Loft,1200.0,0,35,1,1,1,0,0,0,0,,67,17-03-2024 | 11:38
92,Malaga,Carretera de Cádiz,Piso,2250.0,0,120,3,3,1,1,0,0,0,,45,17-03-2024 | 11:38
93,Malaga,Cruz de Humilladero,Piso,1400.0,0,120,3,1,1,1,0,0,0,,54,17-03-2024 | 11:38
94,Malaga,Centro,Piso,1250.0,0,86,2,1,1,0,0,0,0,3ª,20,17-03-2024 | 11:38
95,Malaga,Cruz de Humilladero,Piso,1400.0,0,120,3,1,0,1,0,1,0,,19,17-03-2024 | 11:38
96,Malaga,Teatinos - Universidad,Piso,1400.0,0,85,3,2,1,0,0,0,0,1ª,22,17-03-2024 | 11:38
97,Malaga,Teatinos - Universidad,Piso,1400.0,0,85,3,2,1,0,0,0,0,1ª,22,17-03-2024 | 11:38
98,Malaga,Cruz de Humilladero,Piso,1450.0,0,157,4,2,1,1,0,0,0,,33,17-03-2024 | 11:38
99,Malaga,Centro,Piso,1350.0,0,80,2,1,1,0,0,0,0,4ª,57,17-03-2024 | 11:38
100,Malaga,Carretera de Cádiz,Estudio,800.0,0,25,0,1,1,0,1,0,0,bajo,3,17-03-2024 | 11:38
101,Malaga,Este,Piso,1200.0,0,97,4,2,1,0,0,0,0,4ª,31,17-03-2024 | 11:38
102,Malaga,Centro,Piso,1800.0,0,111,3,2,1,0,0,0,0,5ª,22,17-03-2024 | 11:38
103,Malaga,Este,Piso,800.0,100,53,1,1,1,0,0,0,0,1ª,38,17-03-2024 | 11:38
104,Malaga,Cruz de Humilladero,Apartamento,1490.0,0,55,1,1,1,0,0,0,0,,88,17-03-2024 | 11:38
105,Malaga,Cruz de Humilladero,Piso,1190.0,0,60,2,1,0,0,1,1,0,,72,17-03-2024 | 11:38
106,Malaga,Cruz de Humilladero,Piso,2400.0,0,90,2,2,1,0,0,0,0,7ª,60,17-03-2024 | 11:38
107,Malaga,Teatinos - Universidad,Apartamento,1300.0,0,80,2,1,0,1,0,0,1,,60,17-03-2024 | 11:38
108,Malaga,Este,Piso,2300.0,0,135,3,2,1,0,0,0,0,2ª,118,17-03-2024 | 11:38
109,Malaga,Centro,Piso,1000.0,200,40,1,1,1,0,0,0,0,1ª,1,17-03-2024 | 11:38
110,Malaga,Centro,Piso,1800.0,0,94,2,2,1,0,0,0,0,1ª,2,17-03-2024 | 11:38
111,Malaga,Centro,Piso,1500.0,0,130,3,2,1,0,1,0,0,,13,17-03-2024 | 11:38
112,Malaga,Centro,Piso,1650.0,0,180,4,2,1,0,0,0,0,2ª,3,17-03-2024 | 11:38
113,Malaga,Este,Piso,1350.0,0,85,2,2,1,0,0,0,0,1ª,3,17-03-2024 | 11:38
114,Malaga,Carretera de Cádiz,Piso,1650.0,0,125,4,2,1,0,0,0,0,2ª,3,17-03-2024 | 11:38
115,Malaga,Centro,Piso,1800.0,200,150,4,2,1,0,0,0,0,3ª,5,17-03-2024 | 11:38
116,Malaga,Centro,Piso,1950.0,150,147,4,2,1,0,0,0,0,5ª,17,17-03-2024 | 11:38
117,Malaga,Centro,Piso,1900.0,0,92,3,2,1,0,0,0,0,15,39,17-03-2024 | 11:38
118,Malaga,Puerto de la Torre,Casa o chalet,2500.0,0,200,4,2,0,1,0,0,1,,63,17-03-2024 | 11:38
119,Malaga,Centro,Ático,1350.0,50,60,2,1,1,0,0,0,0,15,5,17-03-2024 | 11:38
120,Malaga,Centro,Piso,1850.0,0,70,2,1,1,0,0,0,0,,23,17-03-2024 | 11:39
121,Malaga,Centro,Dúplex,2100.0,100,150,3,2,1,0,0,0,0,3ª,51,17-03-2024 | 11:39
122,Malaga,Bailen - Miraflores,Piso,1400.0,0,127,4,2,1,0,0,0,0,,1117,17-03-2024 | 11:39
123,Malaga,Centro,Piso,1350.0,0,50,1,1,1,0,0,0,0,,102,17-03-2024 | 11:39
124,Malaga,Este,Piso,1850.0,150,170,3,2,1,0,0,0,0,3ª,114,17-03-2024 | 11:39
125,Malaga,Centro,Piso,1300.0,0,97,2,1,1,0,0,0,0,,455,17-03-2024 | 11:39
126,Malaga,Centro,Apartamento,1000.0,0,75,1,1,1,1,0,0,0,,180,17-03-2024 | 11:39
127,Malaga,Bailen - Miraflores,Piso,1200.0,0,98,2,2,1,0,0,1,0,,258,17-03-2024 | 11:39
128,Malaga,Bailen - Miraflores,Piso,900.0,0,79,3,1,1,1,0,0,0,,3,17-03-2024 | 11:39
129,Malaga,Este,Piso,1100.0,0,80,2,2,1,0,0,0,0,,5,17-03-2024 | 11:39
130,Malaga,Centro,Piso,1250.0,0,95,2,1,1,0,0,0,0,3ª,5,17-03-2024 | 11:39
131,Malaga,Centro,Piso,825.0,0,45,0,1,1,0,0,1,0,2ª,5,17-03-2024 | 11:39
132,Malaga,Este,Piso,2600.0,0,150,4,3,1,0,0,0,0,4ª,26,17-03-2024 | 11:39
133,Malaga,Bailen - Miraflores,Piso,1350.0,0,55,2,1,1,0,0,0,0,3ª,25,17-03-2024 | 11:39
134,Malaga,Teatinos - Universidad,Piso,2200.0,0,130,4,2,1,0,0,0,0,5ª,12,17-03-2024 | 11:39
135,Malaga,Centro,Estudio,795.0,0,40,0,1,1,0,0,1,0,1ª,45,17-03-2024 | 11:39
136,Malaga,Churriana,Casa adosada,1700.0,0,130,2,1,0,0,0,0,1,,14,17-03-2024 | 11:39
137,Malaga,Centro,Piso,1250.0,0,129,3,1,0,0,1,0,0,3ª,52,17-03-2024 | 11:39
138,Malaga,Centro,Piso,1300.0,0,120,4,2,1,0,0,0,0,1ª,30,17-03-2024 | 11:39
139,Malaga,Este,Piso,1300.0,0,87,2,2,1,0,0,0,0,2ª,64,17-03-2024 | 11:39
140,Malaga,Bailen - Miraflores,Piso,1100.0,0,84,3,2,1,0,0,0,0,,111,17-03-2024 | 11:39
141,Malaga,Cruz de Humilladero,Piso,1400.0,0,145,3,2,1,0,0,0,0,,361,17-03-2024 | 11:39
142,Malaga,Ciudad Jardin,Piso,950.0,0,100,3,1,1,1,0,0,0,,315,17-03-2024 | 11:39
143,Malaga,Bailen - Miraflores,Piso,1100.0,0,84,3,2,1,1,0,0,0,,111,17-03-2024 | 11:39
144,Malaga,Puerto de la Torre,Ático,1375.0,0,105,2,2,1,0,0,0,0,5ª,1,17-03-2024 | 11:39
145,Malaga,Centro,Piso,1200.0,0,100,2,1,1,0,0,0,0,1ª,6,17-03-2024 | 11:39
146,Malaga,Churriana,Ático,1300.0,0,116,3,2,1,0,0,0,0,3ª,2,17-03-2024 | 11:39
147,Malaga,Teatinos - Universidad,Piso,1300.0,0,102,3,2,1,1,0,0,0,,26,17-03-2024 | 11:39
148,Malaga,Centro,Ático,2100.0,0,120,3,1,1,0,0,0,0,5ª,411,17-03-2024 | 11:39
149,Malaga,Centro,Apartamento,1100.0,100,40,1,1,1,0,0,0,0,1ª,50,17-03-2024 | 11:39
150,Malaga,Cruz de Humilladero,Piso,1400.0,0,126,4,2,1,0,0,0,0,1ª,4,17-03-2024 | 11:39
151,Malaga,Centro,Piso,1650.0,0,180,4,2,1,0,0,0,0,2ª,53,17-03-2024 | 11:39
152,Malaga,Cruz de Humilladero,Piso,1575.0,0,125,3,2,1,0,0,0,0,6ª,11,17-03-2024 | 11:39
153,Malaga,Carretera de Cádiz,Piso,1600.0,0,85,2,1,1,0,0,0,0,4ª,12,17-03-2024 | 11:39
154,Malaga,Churriana,Casa adosada,1500.0,0,125,3,2,0,1,1,0,0,,20,17-03-2024 | 11:39
155,Malaga,Centro,Piso,2100.0,0,221,4,3,1,0,0,0,0,8ª,33,17-03-2024 | 11:39
156,Malaga,Este,Piso,1200.0,0,62,2,1,1,0,0,0,0,4ª,67,17-03-2024 | 11:39
157,Malaga,Centro,Piso,1500.0,0,95,3,1,1,0,0,0,0,6ª,59,17-03-2024 | 11:39
158,Malaga,Este,Apartamento,,0,50,2,1,0,0,0,0,0,,640,17-03-2024 | 11:39
159,Malaga,Centro,Piso,1700.0,0,120,4,1,0,0,1,0,0,,208,17-03-2024 | 11:39
160,Malaga,Centro,Piso,1650.0,0,114,3,2,0,0,1,1,0,,168,17-03-2024 | 11:39
161,Malaga,Centro,Piso,1500.0,0,136,4,1,1,1,0,0,0,,178,17-03-2024 | 11:39
162,Malaga,Centro,Apartamento,900.0,0,68,1,1,1,0,0,0,0,bajo,5,17-03-2024 | 11:39
163,Malaga,Centro,Piso,2000.0,0,68,2,2,1,0,0,0,0,2ª,12,17-03-2024 | 11:39
164,Malaga,Puerto de la Torre,Casa o chalet,1600.0,0,150,3,1,0,1,0,0,0,,19,17-03-2024 | 11:39
165,Malaga,Teatinos - Universidad,Ático,1500.0,0,74,3,2,1,1,0,0,0,,44,17-03-2024 | 11:39
166,Malaga,Centro,Piso,1300.0,0,95,2,2,1,0,0,0,0,,405,17-03-2024 | 11:39
167,Malaga,Cruz de Humilladero,Piso,1350.0,0,80,2,2,0,0,1,0,0,,0,17-03-2024 | 11:39
168,Malaga,Palma - Palmilla,Piso,1100.0,0,100,3,2,1,0,0,0,0,3ª,2,17-03-2024 | 11:39
169,Malaga,Bailen - Miraflores,Piso,1378.0,0,97,4,2,1,0,0,0,0,2ª,3,17-03-2024 | 11:39
170,Malaga,Teatinos - Universidad,Loft,1350.0,100,50,1,1,0,0,0,0,0,1ª,27,17-03-2024 | 11:39
171,Malaga,Teatinos - Universidad,Loft,1400.0,100,51,1,1,0,0,0,0,0,1ª,26,17-03-2024 | 11:39
172,Malaga,Centro,Piso,1600.0,0,140,4,2,1,0,0,0,0,1ª,4,17-03-2024 | 11:39
173,Malaga,Centro,Piso,1100.0,0,90,2,1,1,0,0,0,0,3ª,5,17-03-2024 | 11:39
174,Malaga,Centro,Piso,1500.0,0,80,1,1,1,0,0,0,0,1ª,7,17-03-2024 | 11:39
175,Malaga,Centro,Piso,1350.0,0,110,3,2,1,0,0,0,0,1ª,9,17-03-2024 | 11:39
